timestamp,total_workers,active_workers,queue_size,requests_per_second,avg_response_time,environment
2026-02-21T15:05:11.111370,3,3,0,0,0,production
2026-02-21T15:05:16.113986,3,3,0,0,0,production
2026-02-21T15:05:21.115954,3,3,0,0,0,production
2026-02-21T15:05:26.117462,3,3,0,0,0,production
2026-02-21T15:05:31.120864,3,3,0,0,0,production
2026-02-21T15:05:36.123341,3,3,0,0,0,production
2026-02-21T15:05:41.124834,3,3,0,0,0,production
2026-02-21T15:05:46.126377,3,3,0,0,0,production
2026-02-21T15:05:51.128206,3,3,0,0,0,production
2026-02-21T15:05:56.130430,3,3,0,0,0,production
2026-02-21T15:06:01.133459,3,3,0,0,0,production
2026-02-21T15:06:06.134971,3,3,0,0,0,production
2026-02-21T15:06:11.136264,3,3,0,0,0,production
2026-02-21T15:06:16.138458,3,3,0,0,0,production
2026-02-21T15:06:21.141788,3,3,0,0,0,production
2026-02-21T15:06:26.143939,3,3,0,0,0,production
2026-02-21T15:06:31.145290,3,3,0,0,0,production
2026-02-21T15:06:36.146422,3,3,0,0,0,production
2026-02-21T15:06:41.148830,3,3,0,0,0,production
2026-02-21T15:06:46.150960,3,3,0,0,0,production
2026-02-21T15:06:51.153114,3,3,0,0,0,production
2026-02-21T15:06:56.154933,3,3,0,0,0,production
2026-02-21T15:07:01.156910,3,3,0,0,0,production
2026-02-21T15:07:06.158746,3,3,0,0,0,production
2026-02-21T15:07:11.162117,3,3,0,0,0,production
2026-02-21T15:07:16.163879,3,3,0,0,0,production
2026-02-21T15:07:21.167420,3,3,0,0,0,production
2026-02-21T15:07:26.168518,3,3,0,0,0,production
2026-02-21T15:07:31.170019,3,3,0,0,0,production
2026-02-21T15:07:36.171857,3,3,0,0,0,production
2026-02-21T15:07:41.173885,3,3,0,0,0,production
2026-02-21T15:07:46.176094,3,3,0,0,0,production
2026-02-21T15:07:51.179136,3,3,0,0,0,production
2026-02-21T15:07:56.180942,3,3,0,0,0,production
2026-02-21T15:08:01.183020,3,3,0,0,0,production
2026-02-21T15:08:06.185089,3,3,0,0,0,production
2026-02-21T15:08:11.186442,3,3,0,0,0,production
2026-02-21T15:08:16.188890,3,3,0,0,0,production
2026-02-21T15:08:21.190399,3,3,0,0,0,production
2026-02-21T15:08:26.192558,3,3,0,0,0,production
2026-02-21T15:08:31.195851,3,3,0,0,0,production
2026-02-21T15:08:36.197580,3,3,0,0,0,production
2026-02-21T15:08:41.199075,3,3,0,0,0,production
2026-02-21T15:08:46.201522,3,3,0,0,0,production
2026-02-21T15:08:51.203642,3,3,0,0,0,production
2026-02-21T15:08:56.206294,3,3,0,0,0,production
2026-02-21T15:09:01.208904,3,3,0,0,0,production
2026-02-21T15:09:06.211809,3,3,0,0,0,production
2026-02-21T15:09:11.212997,3,3,0,0,0,production
2026-02-21T15:09:16.215757,3,3,0,0,0,production
2026-02-21T15:09:21.217590,3,3,0,0,0,production
2026-02-21T15:09:26.219122,3,3,0,0,0,production
2026-02-21T15:09:31.220413,3,3,0,0,0,production
2026-02-21T15:09:36.222518,3,3,0,0,0,production
2026-02-21T15:09:41.225591,3,3,0,0,0,production
2026-02-21T15:09:46.228733,3,3,0,0,0,production
2026-02-21T15:09:51.231494,3,3,0,0,0,production
2026-02-21T15:09:56.233613,3,3,0,0,0,production
2026-02-21T15:10:01.235338,3,3,0,0,0,production
2026-02-21T15:10:06.236456,3,3,0,0,0,production
2026-02-21T15:10:11.238760,3,3,0,0,0,production
2026-02-21T15:10:16.240133,3,3,0,0,0,production
2026-02-21T15:10:21.241391,3,3,0,0,0,production
2026-02-21T15:10:26.242958,3,3,0,0,0,production
2026-02-21T15:10:31.244379,3,3,0,0,0,production
2026-02-21T15:10:36.245445,3,3,0,0,0,production
2026-02-21T15:10:41.246466,3,3,0,0,0,production
2026-02-21T15:10:46.248418,3,3,0,0,0,production
2026-02-21T15:10:51.250337,3,3,0,0,0,production
2026-02-21T15:10:56.251937,3,3,0,0,0,production
2026-02-21T15:11:01.254414,3,3,0,0,0,production
2026-02-21T15:11:06.257475,3,3,0,0,0,production
2026-02-21T15:11:11.259454,3,3,0,0,0,production
2026-02-21T15:11:16.262044,3,3,0,0,0,production
2026-02-21T15:11:21.264161,3,3,0,0,0,production
2026-02-21T15:11:26.266667,3,3,0,0,0,production
2026-02-21T15:11:31.268523,3,3,0,0,0,production
2026-02-21T15:11:36.271647,3,3,0,0,0,production
2026-02-21T15:11:41.274263,3,3,0,0,0,production
2026-02-21T15:11:46.275407,3,3,0,0,0,production
2026-02-21T15:11:51.277496,3,3,0,0,0,production
2026-02-21T15:11:56.279718,3,3,0,0,0,production
2026-02-21T15:12:01.281236,3,3,0,0,0,production
2026-02-21T15:12:06.283277,3,3,0,0,0,production
2026-02-21T15:12:11.284695,3,3,0,0,0,production
2026-02-21T15:12:16.286297,3,3,0,0,0,production
2026-02-21T15:12:21.288510,3,3,0,0,0,production
2026-02-21T15:12:26.290751,3,3,0,0,0,production
2026-02-21T15:12:31.292977,3,3,0,0,0,production
2026-02-21T15:12:36.295513,3,3,0,0,0,production
2026-02-21T15:12:41.297738,3,3,0,0,0,production
2026-02-21T15:12:46.299372,3,3,0,0,0,production
2026-02-21T15:12:51.300856,3,3,0,0,0,production
2026-02-21T15:12:56.302299,3,3,0,0,0,production
2026-02-21T15:13:01.303677,3,3,0,0,0,production
2026-02-21T15:13:06.304919,3,3,0,0,0,production
2026-02-21T15:13:11.306223,3,3,0,0,0,production
2026-02-21T15:13:16.308041,3,3,0,0,0,production
2026-02-21T15:13:21.309877,3,3,0,0,0,production
2026-02-21T15:13:26.311498,3,3,0,0,0,production
2026-02-21T15:13:31.313118,3,3,0,0,0,production
2026-02-21T15:13:36.315217,3,3,0,0,0,production
2026-02-21T15:13:41.317882,3,3,0,0,0,production
2026-02-21T15:13:46.319114,3,3,0,0,0,production
2026-02-21T15:13:51.320751,3,3,0,0,0,production
2026-02-21T15:13:56.322255,3,3,0,0,0,production
2026-02-21T15:14:01.324850,3,3,0,0,0,production
2026-02-21T15:14:06.326315,3,3,0,0,0,production
2026-02-21T15:14:11.329216,3,3,0,0,0,production
2026-02-21T15:14:16.330679,3,3,0,0,0,production
2026-02-21T15:14:21.332178,3,3,0,0,0,production
2026-02-21T15:14:26.335104,3,3,0,0,0,production
2026-02-21T15:14:31.336437,3,3,0,0,0,production
2026-02-21T15:14:36.338292,3,3,0,0,0,production
2026-02-21T15:14:41.339947,3,3,0,0,0,production
2026-02-21T15:14:46.341634,3,3,0,0,0,production
2026-02-21T15:14:51.343019,3,3,0,0,0,production
2026-02-21T15:14:56.344578,3,3,0,0,0,production
2026-02-21T15:15:01.347199,3,3,0,0,0,production
2026-02-21T15:15:06.348631,3,3,0,0,0,production
2026-02-21T15:15:11.349816,3,3,0,0,0,production
2026-02-21T15:15:16.351208,3,3,0,0,0,production
2026-02-21T15:15:21.353105,3,3,0,0,0,production
2026-02-21T15:15:26.354837,3,3,0,0,0,production
2026-02-21T15:15:31.355928,3,3,0,0,0,production
2026-02-21T15:15:36.358049,3,3,0,0,0,production
2026-02-21T15:15:41.360453,3,3,0,0,0,production
2026-02-21T15:15:46.362280,3,3,0,0,0,production
2026-02-21T15:15:51.364304,3,3,0,0,0,production
2026-02-21T15:15:56.365474,3,3,0,0,0,production
2026-02-21T15:16:01.367102,3,3,0,0,0,production
2026-02-21T15:16:06.369126,3,3,0,0,0,production
2026-02-21T15:16:11.370671,3,3,0,0,0,production
2026-02-21T15:16:16.371986,3,3,0,0,0,production
2026-02-21T15:16:21.374267,3,3,0,0,0,production
2026-02-21T15:16:26.375659,3,3,0,0,0,production
2026-02-21T15:16:31.377280,3,3,0,0,0,production
2026-02-21T15:16:36.378646,3,3,0,0,0,production
2026-02-21T15:16:41.379922,3,3,0,0,0,production
2026-02-21T15:16:46.382449,3,3,0,0,0,production
2026-02-21T15:16:51.383545,3,3,0,0,0,production
2026-02-21T15:16:56.385601,3,3,0,0,0,production
2026-02-21T15:17:01.387691,3,3,0,0,0,production
2026-02-21T15:17:06.390397,3,3,0,0,0,production
